Path,Count,Percentage,Types,Registration Types
"registrationData.selectedPackageDetails.eligibilityCriteria.rules[0].operator",5,3.18%,"string","lodge: 5"
"registrationData.selectedPackageDetails.eligibilityCriteria.operator",5,3.18%,"string","lodge: 5"
"registrationData.selectedPackageDetails.includesDescription",5,3.18%,"null","lodge: 5"
"registrationData.comprehensiveLodgeDetails",5,3.18%,"object","lodge: 5"
"registrationData.comprehensiveLodgeDetails.grand_lodge_id",5,3.18%,"string","lodge: 5"
"registrationData.comprehensiveBookingContact",5,3.18%,"object","lodge: 5"
"registrationData.comprehensiveBookingContact.rank",5,3.18%,"string","lodge: 5"
"registrationData.comprehensiveBookingContact.email",5,3.18%,"string","lodge: 5"
"registrationData.comprehensiveBookingContact.title",5,3.18%,"string","lodge: 5"
"registrationData.comprehensiveBookingContact.mobile",5,3.18%,"string","lodge: 5"
"registrationData.comprehensiveBookingContact.country",5,3.18%,"string","lodge: 5"
"registrationData.comprehensiveBookingContact.lastName",5,3.18%,"string","lodge: 5"
"registrationData.comprehensiveBookingContact.postcode",5,3.18%,"string","lodge: 5"
"registrationData.comprehensiveBookingContact.firstName",5,3.18%,"string","lodge: 5"
"registrationData.comprehensiveBookingContact.addressLine1",5,3.18%,"string","lodge: 5"
"registrationData.metadata.amount",4,2.55%,"number","lodge: 4"
"registrationData.metadata.subtotal",4,2.55%,"number","lodge: 4"
"registrationData.metadata.stripeFee",4,2.55%,"number","lodge: 4"
"registrationData.bookingContactId",4,2.55%,"string","lodge: 4"
"paymentVerified",4,2.55%,"boolean","individuals: 4"
"registrationData.lodgeOrderDetails",3,1.91%,"object","lodge: 3"
"registrationData.lodgeOrderDetails.subtotal",3,1.91%,"number","lodge: 3"
"registrationData.lodgeOrderDetails.packageId",3,1.91%,"string","lodge: 3"
"registrationData.lodgeOrderDetails.packageName",3,1.91%,"string","lodge: 3"
"registrationData.lodgeOrderDetails.itemQuantity",3,1.91%,"number","lodge: 3"
"registrationData.lodgeOrderDetails.packagePrice",3,1.91%,"number","lodge: 3"
"registrationData.lodgeOrderDetails.totalAttendees",3,1.91%,"number","lodge: 3"
"registrationData.lodgeOrderDetails.packageQuantity",3,1.91%,"number","lodge: 3"
"registrationData.comprehensiveLodgeDetails.lodge_id",3,1.91%,"string","lodge: 3"
"registrationData.comprehensiveLodgeDetails.lodgeName",3,1.91%,"string","lodge: 3"
"registrationData.comprehensiveBookingContact.city",3,1.91%,"string","lodge: 3"
"registrationData.comprehensiveBookingContact.state",3,1.91%,"string","lodge: 3"
"registrationData.orderDetails",2,1.27%,"object","lodge: 2"
"registrationData.orderDetails.subtotal",2,1.27%,"number","lodge: 2"
"registrationData.orderDetails.ticketCount",2,1.27%,"number","lodge: 2"
"registrationData.orderDetails.totalWithFees",2,1.27%,"number","lodge: 2"
"registrationData.orderDetails.processingFees",2,1.27%,"number","lodge: 2"
"registrationData.comprehensiveLodgeDetails.delegationType",2,1.27%,"string","lodge: 2"
"registrationData.comprehensiveLodgeDetails.grandLodgeName",2,1.27%,"string","lodge: 2"
"registrationData.comprehensiveLodgeDetails.organisationId",2,1.27%,"null","lodge: 2"
"registrationData.comprehensiveLodgeDetails.organisationName",2,1.27%,"string","lodge: 2"
"registrationData.comprehensiveLodgeDetails.organisationKnownAs",2,1.27%,"string","lodge: 2"
"registrationData.comprehensiveLodgeDetails.organisationAbbreviation",2,1.27%,"string","lodge: 2"
"registrationData.comprehensiveBookingContact.suburb",2,1.27%,"string","lodge: 2"
"registrationData.comprehensiveBookingContact.grandRank",2,1.27%,"string","lodge: 2"
"registrationData.comprehensiveBookingContact.grandOffice",2,1.27%,"string","lodge: 2"
"registrationData.comprehensiveBookingContact.attendeeType",2,1.27%,"string","lodge: 2"
"registrationData.comprehensiveBookingContact.stateTerritory",2,1.27%,"string","lodge: 2"
"registrationData.comprehensiveBookingContact.otherGrandOffice",2,1.27%,"string","lodge: 2"
"registrationData.comprehensiveBookingContact.contactPreference",2,1.27%,"string","lodge: 2"
"registrationData.comprehensiveBookingContact.grandOfficerStatus",2,1.27%,"string","lodge: 2"
"registrationData.attendees[0].ticket",2,1.27%,"object","individuals: 2"
"registrationData.attendees[0].ticket.selectedEvents",2,1.27%,"array","individuals: 2"
"registrationData.attendees[0].ticket.ticketDefinitionId",2,1.27%,"null","individuals: 2"
"customerInvoice.dueDate",1,0.64%,"string","lodge: 1"
"customerInvoice.payment.currency",1,0.64%,"string","lodge: 1"
"supplierInvoice.dueDate",1,0.64%,"string","lodge: 1"
"supplierInvoice.payment.currency",1,0.64%,"string","lodge: 1"
"supplierInvoice.payment.status",1,0.64%,"string","lodge: 1"
"testField",1,0.64%,"string","individuals: 1"
"processed",1,0.64%,"boolean","individuals: 1"
"processedAt",1,0.64%,"string","individuals: 1"
"paymentAmount",1,0.64%,"null","individuals: 1"
"paymentDate",1,0.64%,"string","individuals: 1"
"paymentId",1,0.64%,"string","individuals: 1"
"paymentTransactionId",1,0.64%,"string","individuals: 1"
"insertedFromSupabase",1,0.64%,"string","individuals: 1"
"supabaseSync",1,0.64%,"boolean","individuals: 1"
