Event Ticket ID,Event ID,Name,Description,Status,Price,Total Capacity,Available Count,Sold Count,Transaction Count,Registration Count,Total Attendees,Total Revenue,Average Order Value,Utilization Rate %
fd12d7f0-f346-49bf-b1eb-0682ad226216,03a51924-1606-47c9-838d-9dc32657cd59,"Proclamation Banquet - Best Available","",Active,115.00,480,480,0,0,32,0,0.00,0,0.0
c3d4e5f6-a7b8-4923-cdef-345678901234,03a51924-1606-47c9-838d-9dc32657cd59,"Grand Proclamation Banquet - 3rd Floor","",False,115.00,30,30,0,0,2,0,0.00,0,0.0
b2c3d4e5-f6a7-4891-bcde-f23456789012,03a51924-1606-47c9-838d-9dc32657cd59,"Grand Proclamation Banquet - Mezzanine","",False,115.00,30,30,0,0,2,0,0.00,0,0.0
a1b2c3d4-e5f6-4789-abcd-ef1234567890,03a51924-1606-47c9-838d-9dc32657cd59,"Grand Proclamation Banquet - Marble Foyer","",False,115.00,102,102,0,0,1,0,0.00,0,0.0
bce41292-3662-44a7-85da-eeb1a1e89d8a,567fa008-40de-4f87-89f5-900933f898b2,"Farewell Cruise Luncheon","",Active,75.00,150,150,0,0,13,0,0.00,0,0.0
7196514b-d4b8-4fe0-93ac-deb4c205dd09,6c12952b-7cf3-4d6a-81bd-1ac3b7ff7076,"Grand Proclamation Ceremony","",Active,20.00,600,600,0,0,85,0,0.00,0,0.0
d4e5f6a7-b8c9-4567-def0-456789012345,a1b2c3d4-e5f6-7890-abcd-ef1234567890,"Ladies Brunch","",Active,50.00,100,100,0,0,6,0,0.00,0,0.0
be94ef03-6647-48d5-97ea-f98c862e30e6,d19d0c78-bf04-48a3-b8c5-7b9724079451,"Quarterly Communication","",Active,0.00,500,500,0,0,2,0,0.00,0,0.0
d586ecc1-e410-4ef3-a59c-4a53a866bc33,e842bdb2-aff8-46d8-a347-bf50840fff13,"Meet & Greet Cocktail Party","",Active,70.00,200,200,0,0,17,0,0.00,0,0.0
