location_id,room_or_area,place_name,street_address,suburb,state,postal_code,country,latitude,longitude,capacity,created_at,updated_at,phone,email,website,description,parking_info,public_transport_info,accessibility_info,image_urls,google_maps_embed_url,google_maps_place_id,operating_hours,venue_features,dress_code
18542763-954b-44ce-845b-5a80fd1c4fc9,,Sydney Masonic Centre,66 Goulburn Street,Sydney,NSW,2000,Australia,,,,2025-05-29 12:05:11.87594+00,2025-05-29 13:38:11.650657+00,,,,,,,,[],,,{},,
90221696-ce68-432d-b2a5-d35451299c55,,Sydney Harbour,,,,,,,,,2025-04-26 02:44:11.182692+00,2025-05-29 13:38:11.650657+00,,,,,,,,[],,,{},,
